year,temp
1950,14.3
1951,10.4
1952,11.4
1953,11.7
1955,12.2
1956,6.5
1957,15
1958,14.1
1959,10.4
1960,12.9
1961,16.9
1962,12.7
1963,8.9
1964,12.9
1965,9.3
1966,14.8
1967,11.9
1968,11.3
1969,9.6
1970,12.5
1971,12.8
1972,10.8
1973,11.3
1974,10.6
1975,12.1
1976,11.7
1977,12.5
1978,13
1979,11.9
1980,13.3
1981,11.6
1982,11.5
1983,9.2
1984,10.9
1985,13.6
1986,9.7
1987,11.2
1988,11.2
1989,12.6
1990,17.2
1991,9.9
1992,12.6
1993,10.1
1994,12.4
1995,14.5
1996,10
1997,16.6
1998,14.5
1999,12.7
2000,18
2001,13.7
2002,16.1
2003,10.5
2004,13.5
2005,10.2
2006,11.6
2007,13.8
2008,13.5
2009,12.5
2010,10.4
2011,14.1
2012,11.2
2013,11.2
2014,12.2
2015,10.1
2016,13
2017,14.2
2018,10.7
2019,15.8
