year,temp
1950,14.8
1951,11.4
1952,13.1
1953,12.2
1954,11.6
1955,12.1
1956,8.8
1957,14.1
1958,14.9
1959,13.6
1960,13.9
1961,16
1962,12
1963,11.1
1964,13.8
1965,11.7
1966,14.9
1967,13.5
1968,12.9
1969,11.3
1970,12.1
1971,13.6
1972,12.1
1973,11.8
1974,12.6
1975,14.1
1976,13.5
1977,14.1
1978,14
1979,13.5
1980,14.1
1981,12.6
1982,14.7
1983,12
1984,12.3
1985,14.8
1986,12.6
1987,13
1988,13.9
1989,14.9
1990,16
1991,12.2
1992,14.2
1993,14.4
1994,13.5
1995,14.6
1996,12.6
1997,15.5
1998,16.7
1999,13.2
2000,14.7
2001,14.9
2002,14.7
2003,13.5
2004,14.5
2005,11.8
2006,13.1
2007,15.2
2008,17.9
2009,14.3
2010,13.3
2011,14.6
2012,12.9
2013,13.3
2014,13.8
2015,12.5
2016,13.3
2017,14.6
2018,12.1
2019,16.5
