year,temp
1950,14
1951,10.3
1952,11.8
1953,11.7
1954,10.8
1955,10.8
1956,6.6
1957,12.7
1958,13.9
1959,12.5
1960,12
1961,16.9
1962,13.3
1963,9.1
1964,13.1
1965,10.3
1966,13.4
1967,12
1968,11.5
1969,9.8
1970,12.5
1971,14.5
1972,11.6
1973,12.6
1974,11.8
1975,13.4
1976,13
1977,12.2
1978,13.6
1979,12.3
1980,13.6
1981,12.7
1982,12.9
1983,12.1
1984,12.5
1985,14.8
1986,11.7
1987,12.9
1988,13.1
1989,14.5
1990,17.3
1991,11.3
1992,14.5
1993,13.5
1994,13.5
1995,15.5
1996,12.4
1997,16.9
1998,15.5
1999,14.5
2000,18.2
2001,14.6
2002,15.8
2003,12.4
2004,14.1
2005,11.7
2006,13.2
2007,14.9
2008,15.4
2009,14.4
2010,11.9
2011,15.6
2012,13.8
2013,12.6
2014,12.9
2015,12.3
2016,14.2
2017,15
2018,12.4
2019,18
