year,temp
1950,9.6
1951,5
1952,10
1953,8.1
1954,7.7
1955,6.5
1956,4.2
1957,9.2
1958,10.5
1959,11.3
1960,7
1961,13.4
1962,10.4
1963,5
1964,9.3
1965,7.2
1966,8.6
1967,10.1
1968,8
1969,6.6
1970,8.7
1971,11.8
1972,7.5
1973,9.2
1974,8.1
1975,9.9
1976,9
1977,8.5
1978,8.8
1979,8.6
1980,10.3
1981,9.7
1982,9.2
1983,6.8
1984,8.7
1985,9.7
1986,6.4
1987,8.1
1988,8.8
1989,10.5
1990,11.6
1991,7.7
1992,11
1993,9.9
1994,8.6
1995,10.2
1996,7.2
1997,12
1998,12.6
1999,11.3
2000,12.6
2001,9.8
2002,10.5
2003,7.3
2004,9.6
2005,7.2
2006,8.9
2007,9.5
2008,11.5
2009,11
2010,6.9
2011,10.2
2012,10.5
2013,7.9
2014,7.5
2015,7.3
2016,8.7
2017,10.8
2018,8
2019,12.5
