year,temp
1964,15.1
1965,14.4
1966,15.4
1967,16.4
1968,14.4
1969,13.6
1970,13
1971,18
1972,12.7
1973,14.5
1974,13.9
1975,14.8
1976,14.6
1977,13.8
1978,13.9
1979,13.5
1980,14.5
1981,14.1
1982,14.5
1983,12.5
1984,13.7
1985,15.9
1986,11.5
1987,13.4
1988,14.1
1989,15.7
1990,15.3
1991,12.1
1992,15.3
1993,15.7
1994,12.6
1995,13.9
1996,12
1997,15.2
1998,17.6
1999,14.3
2000,15.1
2001,15.4
2002,14.5
2003,13
2004,14.9
2005,12.5
2006,13.1
2007,13.8
2008,17.3
2009,14.8
2010,12.7
2011,13.9
2012,13.5
2013,12.4
2014,12.6
2015,11.8
2016,12.6
2017,14.9
2018,12.7
2019,16.3
