year,temp
1950,15.3
1951,14.2
1952,13.4
1953,13.3
1954,12.9
1955,14.4
1956,9
1957,16.3
1958,15
1959,14.3
1960,14.3
1961,15.5
1962,13.8
1963,11.1
1964,13.9
1965,11.7
1966,15.7
1967,14.3
1968,14.3
1969,12.8
1970,14.7
1971,14.5
1972,14
1973,13.4
1974,14.3
1975,14.6
1976,14.1
1977,16.7
1978,15.4
1979,15.4
1980,15.4
1981,13.2
1982,13.9
1983,12.1
1984,13.6
1985,15.2
1986,13
1987,13.4
1988,15.1
1989,15.9
1990,17.5
1991,13.4
1992,13.3
1993,12.8
1994,14.7
1995,16.6
1996,13.6
1997,16
1998,15.5
1999,14.3
2000,16
2001,13.7
2002,14
2003,12.9
2004,14.1
2005,12.6
2006,13.5
2007,16.8
2008,14.9
2009,13.8
2010,12.8
2011,14.8
2012,12.2
2013,13.5
2014,15.6
2015,14.1
2016,16.3
2017,16.3
2018,12.4
2019,16
