year,temp
1950,13.7
1951,10.5
1952,13
1953,12.9
1954,12.1
1955,12.1
1956,8.9
1957,13.5
1958,15
1959,13.2
1960,12.9
1961,17.3
1962,14.5
1963,9.7
1964,13.6
1965,11.5
1966,12.9
1967,12.4
1968,11.7
1969,10.3
1970,13.4
1971,15.2
1972,11.6
1973,13.4
1974,13
1975,13.5
1976,13.6
1977,12.1
1978,13.4
1979,12.5
1980,13.9
1981,14.4
1982,13.9
1983,11.3
1984,12.4
1985,14.4
1986,12.1
1987,13.3
1988,13.4
1989,15
1990,16
1991,11.7
1992,14.1
1993,13.7
1994,13
1995,15
1996,12.1
1997,16.4
1998,15.9
1999,14.4
2000,17.1
2001,14.8
2002,15.7
2003,12.8
2004,14.1
2005,12.8
2006,13.1
2007,14.5
2008,15.4
2009,15.1
2010,11.9
2011,15
2012,14
2013,12.4
2014,12.7
2015,12.7
2016,13.2
2017,14.7
2018,13.2
2019,16.3
