year,total
1950,1
1951,1
1952,3
1953,0
1954,0
1955,2
1956,1
1957,3
1958,0
1959,1
1960,0
1961,1
1962,5
1963,2
1964,0
1965,5
1966,2
1967,1
1968,7
1969,2
1970,3
1971,2
1972,0
1973,0
1974,0
1975,0
1976,1
1977,0
1978,0
1979,3
1980,1
1981,0
1982,1
1983,1
1984,0
1985,0
1986,0
1987,0
1988,0
1989,4
1990,0
1991,0
1992,0
1993,3
1994,2
1995,3
1996,1
1997,0
1998,0
1999,2
2000,0
2001,4
2002,0
2003,3
2004,3
2005,4
2006,0
2007,0
2008,7
2009,8
2010,7
2011,9
2012,6
2013,0
2014,5
2015,11
2016,6
2017,2
2018,3
2019,2
2020,5
2021,8
2022,8
2023,12
