year,total
1950,0
1951,0
1952,0
1953,1
1954,3
1955,4
1956,0
1957,1
1958,0
1959,2
1960,1
1961,4
1962,2
1963,0
1964,5
1965,0
1966,0
1967,4
1968,1
1969,2
1970,1
1971,3
1972,0
1973,1
1974,0
1975,9
1976,2
1977,0
1978,0
1979,1
1980,0
1981,1
1982,1
1983,2
1984,0
1985,0
1986,0
1987,0
1988,1
1989,12
1990,6
1991,7
1992,7
1993,7
1994,8
1995,3
1996,1
1997,3
1998,7
1999,5
2000,2
2001,6
2002,0
2003,17
2004,4
2005,2
2006,4
2007,8
2008,5
2009,5
2010,10
2011,5
2012,4
2013,4
2014,10
2015,25
2016,7
2017,10
2018,8
2019,6
2020,15
2021,11
2022,19
2023,20
2024,25
,0
,0
,0
,1
,3
,4
,0
,1
,0
,2
,1
,4
,2
,0
,5
,0
,0
,4
,1
,2
,1
,3
,0
,1
,0
,9
,2
,0
,0
,1
,0
,1
,1
,2
,0
,0
,0
,0
,1
,12
,6
,7
,7
,7
,8
,3
,1
,3
,7
,5
,2
,6
,0
,17
,4
,2
,4
,8
,5
,5
,10
,5
,4
,4
,10
,25
,7
,10
,8
,6
,15
,11
,19
,20
,29
,0
,0
,0
,1
,3
,4
,0
,1
,0
,2
,1
,4
,2
,0
,5
,0
,0
,4
,1
,2
,1
,3
,0
,1
,0
,9
,2
,0
,0
,1
,0
,1
,1
,2
,0
,0
,0
,0
,1
,12
,6
,7
,7
,7
,8
,3
,1
,3
,7
,5
,2
,6
,0
,17
,4
,2
,4
,8
,5
,5
,10
,5
,4
,4
,10
,25
,7
,10
,8
,6
,15
,11
,19
,20
,29
