year,total
1950,0
1951,1
1952,3
1953,1
1954,5
1955,0
1956,1
1957,2
1958,1
1959,4
1960,1
1961,0
1962,1
1963,0
1964,3
1965,1
1966,3
1967,0
1968,1
1969,2
1970,2
1971,1
1972,0
1973,1
1974,1
1975,2
1976,2
1977,0
1978,2
1979,1
1980,1
1981,9
1982,1
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,3
1990,4
1991,5
1992,3
1993,1
1994,0
1995,2
1996,0
1997,1
1998,2
1999,1
2000,0
2001,0
2002,0
2003,4
2004,1
2005,1
2006,4
2007,0
2008,1
2009,0
2010,4
2011,0
2012,2
2013,3
2014,0
2015,1
2016,1
2017,1
2018,3
2019,1
2020,2
2021,1
2022,4
2023,2
2024,2
