fecha,minima
1954-07-25,25
1956-08-03,25.6
1957-07-13,25.2
1961-08-18,26
1966-08-18,25.6
1966-08-19,26.8
1966-08-20,25
1974-07-02,27
1975-07-16,26.6
1975-07-27,27
1975-08-11,25
1976-08-08,26
1976-08-09,27.8
1976-08-10,26.8
1976-08-11,26
1976-08-12,26.8
1978-07-17,27.2
1978-07-22,26
1978-07-25,25.4
1978-09-11,26.2
1980-07-24,25.2
1980-08-06,27
1980-08-07,27.6
1980-08-08,26
1980-08-09,25.6
1982-07-25,25.8
1982-07-26,26.5
1983-09-06,28.6
1983-09-26,25.6
1984-07-28,25.8
1985-08-16,25
1985-08-22,25
1987-09-08,25
1987-09-10,25
1987-09-12,25
1988-08-18,25.6
1988-09-09,25
1988-09-10,27
1990-08-06,26.6
1990-08-27,26.8
1993-08-12,25.2
1994-07-05,26
2004-07-26,28
2004-07-27,27.2
2004-07-28,26.4
2005-09-04,25.1
2005-09-05,26.8
2006-09-04,26.3
2007-07-29,27.9
2007-07-30,28.3
2009-07-30,26.1
2009-07-31,25.8
2009-08-01,27.9
2010-07-12,25.1
2010-08-12,28.5
2010-08-28,27
2010-08-29,28.2
2010-08-30,25.5
2011-06-22,25.1
2012-07-17,26.7
2019-08-17,25.7
2020-08-27,29
2020-09-08,26.1
2021-07-18,26.7
2021-08-16,27.4
2021-08-17,27.1
2022-07-24,25
2022-07-26,27.6
