year,total
1950,6
1951,0
1952,1
1953,0
1954,0
1955,1
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,2
1963,1
1964,0
1965,0
1966,0
1967,1
1968,0
1969,0
1970,1
1971,0
1972,0
1973,0
1974,0
1975,1
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,1
1988,2
1989,3
1990,2
1991,3
1992,0
1993,0
1994,4
1995,3
1996,1
1997,0
1998,7
1999,2
2000,2
2001,8
2002,2
2003,9
2004,6
2005,2
2006,4
2007,2
2008,1
2009,0
2010,0
2011,3
2012,6
2013,0
2014,7
2015,22
2016,4
2017,10
2018,9
2019,10
2020,5
2021,4
2022,7
2023,24
2024,2
