year,total
1950,0
1951,0
1952,0
1953,0
1954,1
1955,0
1956,1
1957,1
1958,0
1959,0
1960,0
1961,1
1962,0
1963,0
1964,0
1965,0
1966,3
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,1
1975,3
1976,5
1977,0
1978,4
1979,0
1980,5
1981,0
1982,2
1983,2
1984,1
1985,2
1986,0
1987,3
1988,3
1989,0
1990,2
1991,0
1992,0
1993,1
1994,1
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,3
2005,2
2006,1
2007,2
2008,0
2009,3
2010,5
2011,1
2012,1
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,1
2020,2
2021,3
2022,2
2023,0
