year,total
1950,0
1951,0
1952,1
1953,1
1954,2
1955,2
1956,3
1957,0
1958,0
1959,0
1960,0
1961,4
1962,1
1963,1
1964,0
1965,0
1966,4
1967,1
1968,0
1969,1
1970,2
1971,1
1972,0
1973,0
1974,1
1975,0
1976,4
1977,0
1978,5
1979,0
1980,2
1981,0
1982,2
1983,6
1984,2
1985,4
1986,0
1987,6
1988,0
1989,3
1990,3
1991,0
1992,0
1993,1
1994,1
1995,1
1996,0
1997,0
1998,1
1999,3
2000,0
2001,0
2002,1
2003,1
2004,7
2005,1
2006,1
2007,1
2008,0
2009,2
2010,2
2011,0
2012,2
2013,4
2014,0
2015,3
2016,4
2017,1
2018,0
2019,0
2020,4
2021,3
2022,1
2023,13
2024,0
